HD	RA	DEG	Bayer	Cst
26965	63.8235	-7.6445556	omi02	Eri
26967	63.5003333	-42.2938611	alf  	Hor
26976	63.8720833	-7.6113889	omi02	Eri
27045	64.315375	20.57875	ome  	Tau
27176	64.5964167	21.5793889	     	Tau
27192	65.0479583	50.9209444	b02  	Per
27256	63.6059583	-62.4739722	alf  	Ret
27290	64.0062083	-51.4870833	gam  	Dor
27295	64.8586667	21.1424167	     	Tau
27309	64.902875	21.7735833	     	Tau
27348	65.10275	34.56675	     	Per
27371	64.9480417	15.6276944	gam  	Tau
27376	64.4734167	-33.7983333	ups04	Eri
27382	65.0884583	27.3509444	phi  	Tau
27383	64.97825	16.5226667	     	Tau
27396	65.388125	46.4989722	d    	Per
27397	64.990125	14.03525	h    	Tau
27442	64.1211667	-59.30175	eps  	Ret
27459	65.151	15.0955	     	Tau
27563	65.1784583	-7.5925	d    	Eri
27628	65.514375	14.07725	     	Tau
27638	65.6455417	25.6293611	chi  	Tau
