HR	Name	HD	RA	DEC	mag	Type
1	          	3	00 05 09.9	+45 13 45	6.7	  A1Vn
2	          	6	00 05 03.8	-00 30 11	6.29	 gG9
3	 33    Psc	28	00 05 20.1	-05 42 27	4.61	  K0IIIbCN-0.5
4	 86    Peg	87	00 05 42.0	+13 23 46	5.51	  G5III
5	          	123	00 06 16.0	+58 26 12	5.96	  G5V
6	          	142	00 06 19.0	-49 04 30	5.7	  G1IV
7	 10    Cas	144	00 06 26.5	+64 11 46	5.59	  B9III
8	          	166	00 06 36.8	+29 01 17	6.13	  K0V
9	          	203	00 06 50.1	-23 06 27	6.18	  A7V
10	          	256	00 07 18.2	-17 23 11	6.19	  A6Vn
11	          	315	00 07 44.1	-02 32 56	6.43	  B8IIIpSi
12	          	319	00 07 46.8	-22 30 32	5.94	  A2Vp:
13	          	344	00 08 03.5	-33 31 46	5.68	  K1III
14	          	352	00 08 12.1	-02 26 52	6.07	  K2III+F
15	 21Alp And	358	00 08 23.3	+29 05 26	2.06	  B8IVpMnHg
16	          	360	00 08 17.4	-08 49 26	5.99	 gG8
17	          	400	00 08 41.0	+36 37 36	6.19	  F8IV
18	          	402	00 08 33.4	-17 34 39	6.06	  M0III
19	          	417	00 08 52.2	+25 27 46	6.23	  K0III
20	          	431	00 09 20.2	+79 42 53	6.01	  A7IV
21	 11Bet Cas	432	00 09 10.7	+59 08 59	2.27	  F2III-IV
22	 87    Peg	448	00 09 02.4	+18 12 43	5.53	  G9III
23	          	469	00 09 02.4	-54 00 07	6.33	  G4IV
24	   Kap1Scl	493	00 09 21.0	-27 59 16	5.42	  F2V
25	   Eps Phe	496	00 09 24.7	-45 44 51	3.88	  K0III
26	 34    Psc	560	00 10 02.3	+11 08 44	5.51	  B9Vn
27	 22    And	571	00 10 19.3	+46 04 20	5.03	  F2II
28	          	584	00 10 29.7	+57 09 56	6.74	  B7IV
29	          	587	00 10 18.8	-05 14 55	5.84	  K1III
30	   Gam3Oct	636	00 10 02.1	-82 13 26	5.28	  G8III
31	          	645	00 10 42.8	-12 34 48	5.85	  K0IV
32	          	661	00 10 38.6	-73 13 28	6.64	  F2V+F6V
33	  6    Cet	693	00 11 15.9	-15 28 05	4.89	  F7V
34	   Kap2Scl	720	00 11 34.4	-27 47 59	5.41	  K5III
35	   The Scl	739	00 11 44.0	-35 07 59	5.25	  F4V
36	          	743	00 11 59.1	+48 09 09	6.16	 gK4
37	          	787	00 12 10.0	-17 56 18	5.25	  K5III
38	          	829	00 12 50.4	+37 41 36	6.73	  B2V
39	 88Gam Peg	886	00 13 14.2	+15 11 01	2.83	  B2IV
40	          	895	00 13 24.0	+26 59 14	6.3	  G0III
41	 23    And	905	00 13 30.8	+41 02 07	5.72	  F0IV
42	          	942	00 13 42.1	-26 01 19	5.94	  K5III
43	          	943	00 13 44.2	-26 17 05	6.31	  K5III
44	          	952	00 14 02.3	+33 12 22	6.25	  A1V
45	 89Chi Peg	1013	00 14 36.2	+20 12 24	4.8	  M2+III
46	          	1014	00 14 27.6	-07 46 50	5.12	  M3+III
47	          	1032	00 13 19.4	-84 59 39	5.77	  M0-1III
48	  7    Cet	1038	00 14 38.4	-18 55 58	4.44	  M3III
49	          	1048	00 14 56.1	+22 17 03	6.24	  A1pSi
50	 35    Psc	1061	00 14 58.8	+08 49 15	5.79	  F0IV
51	          	1064	00 14 54.5	-09 34 11	5.75	  B9V
52	          	1075	00 15 07.0	+31 32 09	6.45	  K5
53	          	1083	00 15 10.6	+27 16 59	6.35	  A1Vn
54	          	1089	00 14 58.2	-34 54 16	6.17	  K3III
55	          	1141	00 16 14.0	+76 57 03	6.35	  B8Vnn
56	          	1185	00 16 21.6	+43 35 41	6.15	  A2VpSi
57	          	1187	00 16 08.9	-31 26 47	5.67	  K5III
58	          	1221	00 15 55.2	-75 54 41	6.49	  G8-K0III
59	 36    Psc	1227	00 16 34.1	+08 14 24	6.11	  G8II-III
60	          	1239	00 16 57.1	+61 32 00	5.74	  G8III
61	          	1256	00 16 42.5	-20 12 38	6.47	  B8III
62	          	1279	00 17 09.1	+47 56 51	5.89	  B7III
63	 24The And	1280	00 17 05.5	+38 40 54	4.61	  A2V
64	          	1324	00 16 49.0	-78 46 50	6.77	  F3III
65	          	1337	00 17 43.0	+51 25 59	6.14	  O9IIInn
66	          	1343	00 17 32.6	-19 03 04	6.45	  F4IV-V
67	          	1367	00 17 47.7	+01 41 20	6.17	  K0II
68	 25Sig And	1404	00 18 19.7	+36 47 07	4.52	  A2V
69	          	1419	00 18 17.2	+11 12 21	6.05	  K0III
70	 26    And	1438	00 18 42.1	+43 47 28	6.11	  B8V
71	          	1439	00 18 38.3	+31 31 02	5.87	  A0IV
72	          	1461	00 18 41.8	-08 03 10	6.46	  G0V
73	          	1483	00 18 42.6	-43 14 07	6.33	  K2III
74	  8Iot Cet	1522	00 19 25.7	-08 49 26	3.56	  K1.5III
75	          	1527	00 19 41.6	+40 43 47	6.33	  K1III
76	          	1561	00 20 05.2	+48 51 55	6.52	  A0V s
77	   Zet Tuc	1581	00 20 04.3	-64 52 29	4.23	  F9V
78	          	1606	00 20 24.4	+30 56 09	5.9	  B7V
79	          	1632	00 20 45.5	+32 54 41	5.79	  K5III
80	 41    Psc	1635	00 20 35.9	+08 11 25	5.37	 gK3
81	          	1663	00 20 54.5	+10 58 37	6.56	  A0V
82	 27Rho And	1671	00 21 07.3	+37 58 07	5.18	  F5III
83	   Pi  Tuc	1685	00 20 39.0	-69 37 30	5.51	  B9V
84	   Iot Scl	1737	00 21 31.2	-28 58 54	5.18	  G5III
85	          	1760	00 21 46.3	-20 03 28	5.12	  M5IIe
86	 42    Psc	1796	00 22 25.5	+13 28 57	6.23	  K3III
87	          	1801	00 21 28.6	-77 25 37	5.97	  K3III
88	  9    Cet	1835	00 22 51.8	-12 12 34	6.39	  G2V
89	          	1909	00 23 12.6	-31 02 10	6.55	  B9IVMn
90	          	1967	00 24 02.0	+38 34 38	7.39	  S6.5IIIeZr6Ti2
91	          	1976	00 24 15.6	+52 01 12	5.57	  B5IV
92	 NOVA 1572	      	          	         	     	
93	 12    Cas	2011	00 24 47.5	+61 49 52	5.4	  B9III
94	          	2023	00 24 29.7	-02 13 09	6.07	  K1III
95	 47    Tuc	      	          	         	     	
96	          	2054	00 25 06.4	+53 02 49	5.74	  B9IV
97	 44    Psc	2114	00 25 24.2	+01 56 23	5.77	  G5III
98	   Bet Hyi	2151	00 25 45.1	-77 15 15	2.8	  G2IV
99	   Alp Phe	2261	00 26 17.0	-42 18 22	2.39	  K0III
100	   Kap Phe	2262	00 26 12.2	-43 40 48	3.94	  A7V
101	 10    Cet	2273	00 26 37.4	-00 02 59	6.19	  G8III
102	          	2363	00 27 14.7	-25 32 50	5.98	  G8III
103	 47    Psc	2411	00 28 02.9	+17 53 35	5.06	  M3III
104	          	2421	00 28 13.7	+44 23 40	5.17	  A2V s
105	   Eta Scl	2429	00 27 55.7	-33 00 26	4.81	  M4III
106	 48    Psc	2436	00 28 12.7	+16 26 42	6.06	  K5III
107	          	2454	00 28 20.1	+10 11 23	6.04	  F6Va vw
108	          	2475	00 28 21.1	-20 20 06	6.43	  G0V
109	          	2490	00 28 26.4	-39 54 54	5.43	  M0III
110	          	2507	00 28 56.6	+36 54 00	6.26	  G5III
111	          	2529	00 28 43.1	-50 31 58	6.26	  K0III
112	          	2589	00 30 55.0	+77 01 10	6.21	  K0IV
113	          	2626	00 30 19.9	+59 58 38	5.94	  B9IIIn
114	 28    And	2628	00 30 07.3	+29 45 06	5.23	  A7III
115	          	2630	00 29 51.9	-14 51 51	6.14	  F2III
116	          	2632	00 29 48.9	-32 07 00	6.57	  K4III
117	 12    Cet	2637	00 30 02.4	-03 57 26	5.72	  M0III
118	          	2696	00 30 22.7	-23 47 16	5.19	  A5Vn
119	          	2724	00 30 27.8	-40 56 22	6.19	  F2III
120	          	2726	00 30 26.1	-48 12 54	5.69	  F2V
121	 13    Cas	2729	00 31 25.3	+66 31 10	6.18	  B6V
122	          	2767	00 31 25.6	+33 34 54	5.87	  K1III
123	 14Lam Cas	2772	00 31 46.4	+54 31 20	4.73	  B8Vn
124	          	2774	00 31 41.2	+52 50 22	5.6	  K2III
125	   Lam1Phe	2834	00 31 25.0	-48 48 13	4.77	  A0V
126	   Bet1Tuc	2884	00 31 32.7	-62 57 29	4.37	  B9V
127	   Bet2Tuc	2885	00 31 33.6	-62 57 57	4.54	  A2V+A7V
128	          	2888	00 32 26.8	+43 29 41	6.7	  A1Vn
129	          	2904	00 33 19.3	+70 58 54	6.42	  A0Vn
130	 15Kap Cas	2905	00 33 00.0	+62 55 54	4.16	  B1Ia
131	 52    Psc	2910	00 32 35.5	+20 17 40	5.38	  K0III
132	 51    Psc	2913	00 32 23.8	+06 57 20	5.67	  B9.5V
133	          	2924	00 32 34.5	+27 34 50	6.67	  A2IV
134	          	2942	00 32 49.1	+28 16 49	6.3	  K0III
135	          	2952	00 33 10.4	+54 53 42	5.93	  K0III
136	   Bet3Tuc	3003	00 32 43.8	-63 01 52	5.09	  A0V
137	 16    Cas	3038	00 34 24.9	+66 45 01	6.48	  B9III
138	          	3059	00 33 41.1	-29 33 30	5.55	  K2III
139	   The Tuc	3112	00 33 23.3	-71 15 58	6.13	  A7IV
140	          	3158	00 34 27.8	-52 22 23	5.57	  F3IV-V
141	          	3166	00 34 55.3	+13 22 16	6.4	  K0
142	 13    Cet	3196	00 35 14.9	-03 35 34	5.2	  F8V
143	 14    Cet	3229	00 35 32.8	-00 30 20	5.93	  F5IV
144	          	3240	00 36 08.3	+54 10 07	5.08	  B7III
145	          	3268	00 35 54.7	+13 12 24	6.41	  F7V
146	          	3283	00 36 27.3	+60 19 34	5.79	  A4III
147	   Lam2Phe	3302	00 35 41.1	-48 00 03	5.51	  F6V
148	          	3303	00 35 33.4	-54 49 19	6.06	  K0IV
149	          	3322	00 36 20.0	+27 15 17	6.5	  B8IIIpHgMn:
150	          	3325	00 36 03.0	-14 58 25	6.45	  G9III
151	          	3326	00 36 06.9	-22 50 33	6.06	  A6pSr
152	          	3346	00 36 46.6	+44 29 19	5.13	  K5-M0III
153	 17Zet Cas	3360	00 36 58.3	+53 53 49	3.66	  B2IV
154	 29Pi  And	3369	00 36 52.9	+33 43 10	4.36	  B5V
155	 53    Psc	3379	00 36 47.3	+15 13 54	5.89	  B2.5IV
156	          	3411	00 37 07.2	+24 00 51	6.47	  K2III
157	          	3421	00 37 21.1	+35 23 58	5.48	  G2.5IIa
158	          	3440	00 39 47.3	+82 29 38	6.4	 dF6
159	          	3443	00 37 20.7	-24 46 02	5.57	  G8V
160	          	3444	00 36 37.4	-65 07 29	6.42	  K2-3III
161	          	3457	00 37 30.5	+03 08 07	6.39	  K4III
162	          	3488	00 37 18.1	-54 23 39	6.41	  K0II-IIICNIV
163	 30Eps And	3546	00 38 33.3	+29 18 42	4.37	  G6IIIFe-3CH1
164	          	3574	00 39 09.9	+49 21 16	5.43	  K7III
165	 31Del And	3627	00 39 19.7	+30 51 39	3.27	  K3III
166	 54    Psc	3651	00 39 21.8	+21 15 02	5.87	  K0+V
167	 55    Psc	3690	00 39 55.6	+21 26 18	5.36	  K0III+F3V
168	 18Alp Cas	3712	00 40 30.5	+56 32 14	2.23	  K0IIIa
169	          	3719	00 38 40.8	-73 08 14	6.85	  A1m
170	          	3735	00 39 57.9	-33 57 42	6.69	  F8V
171	          	3750	00 39 52.0	-44 47 48	6.01	  K1IIICNII
172	          	3794	00 40 28.6	-16 31 01	6.49	  G5
173	          	3795	00 40 32.9	-23 48 16	6.14	  G3V
174	          	3807	00 40 42.4	-04 21 07	5.91	  K0III
175	 32    And	3817	00 41 07.2	+39 27 31	5.33	  G8III
176	          	3823	00 40 26.4	-59 27 16	5.89	  G1V
177	          	3856	00 42 03.4	+66 08 51	5.83	  G9III-IV
178	          	3883	00 41 36.0	+24 37 45	6.04	  A7m
179	 19Xi  Cas	3901	00 42 03.9	+50 30 45	4.8	  B2V
180	   Mu  Phe	3919	00 41 19.6	-46 05 06	4.59	  G8III
181	          	3924	00 42 31.1	+58 45 12	6.17	  B9.5III
182	 M 31  And	      	          	         	     	
183	   Xi  Phe	3980	00 41 46.4	-56 30 06	5.7	  ApSrEuCr
184	 20Pi  Cas	4058	00 43 28.1	+47 01 29	4.94	  A5V
185	   Lam1Scl	4065	00 42 42.9	-38 27 48	6.06	  A0V
186	          	4088	00 42 41.8	-60 15 45	5.98	  K5III
187	   Rho Tuc	4089	00 42 28.4	-65 28 05	5.39	  F6V
188	 16Bet Cet	4128	00 43 35.4	-17 59 12	2.04	  G9.5IIICH-1
189	          	4142	00 44 26.4	+47 51 51	5.67	  B5V
190	          	4145	00 43 50.2	-12 00 42	6.02	  K2III-IV
191	   Eta Phe	4150	00 43 21.2	-57 27 47	4.36	  A0IV
192	 21    Cas	4161	00 45 39.0	+74 59 17	5.66	  A2IV
193	 22Omi Cas	4180	00 44 43.5	+48 17 04	4.54	  B5IIIe
194	 17Phi1Cet	4188	00 44 11.4	-10 36 34	4.76	  K0III
195	   Lam2Scl	4211	00 44 12.1	-38 25 18	5.9	  K1III
196	          	4222	00 45 17.2	+55 13 18	5.42	  A2V s
197	          	4247	00 44 44.4	-22 00 22	5.24	  F1III-IV
198	          	4293	00 44 57.1	-42 40 36	5.94	  F0V
199	          	4294	00 44 32.3	-62 29 52	6.07	  F5III-IV
200	          	4295	00 46 39.0	+69 19 30	6.33	  F3V
201	          	4301	00 45 24.1	-04 37 45	6.15	  M0III
202	          	4304	00 45 00.0	-53 42 54	6.15	  F7III
203	 18    Cet	4307	00 45 28.7	-12 52 51	6.15	  G0V
204	          	4321	00 46 15.1	+55 18 19	6.52	  A2III
205	          	4335	00 46 10.9	+44 51 41	6.05	  B9.5IIIpHgMnCr
206	          	4338	00 45 41.7	-16 25 27	6.47	  F1IVn
207	          	4362	00 46 42.4	+59 34 28	6.39	  G0Ib
208	 23    Cas	4382	00 47 46.1	+74 50 51	5.41	  B8III
209	          	4391	00 45 45.6	-47 33 06	5.8	  G1V
210	          	4398	00 46 11.8	-22 31 19	5.5	  G3V
211	 57    Psc	4408	00 46 33.0	+15 28 32	5.38	  M4IIIa
212	          	4440	00 48 09.1	+72 40 30	5.87	  K0IV
213	 58    Psc	4482	00 47 01.5	+11 58 26	5.5	  G8II
214	 59    Psc	4490	00 47 13.6	+19 34 44	6.13	  F0Vn
215	 34Zet And	4502	00 47 20.3	+24 16 02	4.06	  K1IIe
216	 60    Psc	4526	00 47 23.6	+06 44 27	5.99	  G8III
217	 61    Psc	4568	00 47 54.8	+20 55 31	6.54	  F8V
218	          	4585	00 47 43.3	-18 03 41	5.7	  K3III
219	 24Eta Cas	4614	00 49 06.0	+57 48 57	3.44	  F9V+dM0
220	          	4622	00 48 01.1	-21 43 21	5.57	  B9V
221	 62    Psc	4627	00 48 17.4	+07 18 00	5.93	  G8III
222	          	4628	00 48 23.0	+05 16 50	5.75	  K2V
223	 25Nu  Cas	4636	00 48 50.1	+50 58 06	4.89	  B9III
224	 63Del Psc	4656	00 48 41.0	+07 35 06	4.43	  K4IIIb
225	 64    Psc	4676	00 48 58.7	+16 56 26	5.07	  F8V
226	 35Nu  And	4727	00 49 48.8	+41 04 44	4.53	  B5V+F8V
227	          	4730	00 49 25.6	-13 33 41	5.59	  K5III
228	          	4732	00 49 13.9	-24 08 11	5.9	  K2III
229	          	4737	00 48 56.7	-46 41 52	6.27	  G8III
230	 65    Psc	4757	00 49 52.8	+27 42 39	7	  F4III
231	 65    Psc	4758	00 49 53.2	+27 42 37	7.1	  F5III
232	          	4772	00 49 33.4	-23 21 42	6.28	  A3V
233	          	4775	00 50 43.6	+64 14 51	5.39	  G0III-IV+B9.5V
234	          	4778	00 50 18.3	+45 00 08	6.15	  A0pCr
235	 19Phi2Cet	4813	00 50 07.6	-10 38 40	5.19	  F7IV-V
236	   Lam Hyi	4815	00 48 35.4	-74 55 24	5.07	  K5III
237	          	4817	00 51 16.4	+61 48 21	6.07	  K2Ib-IICN-2
238	          	4818	00 50 57.4	+51 30 29	6.39	  F2IV
239	          	4849	00 50 03.7	-43 23 41	6.48	  A9-F0III
240	          	4853	00 54 53.1	+83 42 26	5.62	  A4V
241	          	4881	00 51 33.7	+51 34 16	6.21	  B9.5V
242	   Rho Phe	4919	00 50 41.2	-50 59 13	5.22	  F2III
243	          	4928	00 51 18.3	+03 23 06	6.37	  K0III
244	          	5015	00 53 04.1	+61 07 27	4.82	  F8V
245	          	5042	00 51 52.1	-43 42 33	6.9	  F2V+F5V
246	          	5066	00 52 53.4	+38 32 55	6.69	  A2V
247	          	5098	00 52 40.6	-24 00 21	5.46	  K2III
248	 20    Cet	5112	00 53 00.5	-01 08 39	4.77	  M0III
249	          	5118	00 53 28.2	+37 25 05	6.06	 gK3
250	          	5128	00 53 47.6	+52 41 21	6.27	  A5m
251	          	5156	00 53 12.4	-24 46 37	6.46	  F6IV-V
252	   Lam1Tuc	5190	00 52 24.3	-69 30 16	6.22	  F7IV-V
253	 26Ups1Cas	5234	00 55 00.1	+58 58 22	4.83	  K2III
254	 66    Psc	5267	00 54 35.2	+19 11 18	5.74	  A1VN
255	 21    Cet	5268	00 54 17.6	-08 44 27	6.16	  G5IV
256	          	5273	00 55 05.2	+48 40 43	6.27	  M2.5IIIa
257	          	5276	00 53 37.9	-62 52 17	5.7	  M4III
258	 36    And	5286	00 54 58.0	+23 37 42	5.47	  K1IV
259	          	5316	00 55 14.7	+24 33 25	6.2	  M4IIIab
260	          	5343	00 56 12.9	+57 59 48	6.21	  K3III
261	          	5357	00 56 55.6	+68 46 34	6.37	  F4III
262	 67    Psc	5382	00 55 58.5	+27 12 34	6.09	  A5IV
263	          	5384	00 55 42.4	-07 20 50	5.85	  K5III
264	 27Gam Cas	5394	00 56 42.5	+60 43 00	2.47	  B0IVe
265	 28Ups2Cas	5395	00 56 39.8	+59 10 52	4.63	  G8IIIbFe-0.5
266	          	5408	00 56 47.1	+60 21 46	5.55	  B9IVn
267	 22Phi3Cet	5437	00 56 01.5	-11 16 00	5.31	  K4III
268	          	5445	00 55 55.5	-27 46 32	6.1	  M0III
269	 37Mu  And	5448	00 56 45.2	+38 29 58	3.87	  A5V
270	   Lam2Tuc	5457	00 55 00.3	-69 31 37	5.45	  K2III
271	 38Eta And	5516	00 57 12.4	+23 25 03	4.42	  G8IIIb
272	          	5526	00 57 39.7	+45 50 23	6.12	  K2III
273	          	5550	00 58 31.1	+66 21 08	5.97	  A0III
274	 68    Psc	5575	00 57 50.2	+28 59 32	5.42	 gG6
275	          	5608	00 58 14.2	+33 57 03	5.98	  K0
276	          	5612	00 57 54.5	+13 41 45	6.32	  G8III
277	          	5641	00 58 18.9	+21 24 16	6.37	  A2V
278	          	5715	01 00 31.0	+70 58 59	6.39	  A4IV
279	 23Phi4Cet	5722	00 58 43.9	-11 22 48	5.61	  G7III
280	   Alp Scl	5737	00 58 36.4	-29 21 27	4.31	  B7IIIp
281	          	5771	00 58 22.4	-60 41 47	6.23	  Am
282	          	5788	01 00 03.4	+44 42 40	6.84	  A2Vn
283	          	5789	01 00 03.6	+44 42 48	6.04	  B9.5Vn
284	          	5820	00 59 49.7	+06 28 59	6.11	  M2III
285	          	5848	01 08 44.7	+86 15 25	4.25	  K2II-III
286	          	5914	01 33 50.4	+89 00 56	6.46	  A3V
287	          	6028	01 02 18.4	+51 02 06	6.47	  A3V
288	   Xi  Scl	6055	01 01 18.3	-38 55 00	5.59	  K0III
289	          	6114	01 03 01.5	+47 22 34	6.45	  A9IV
290	 39    And	6116	01 02 54.3	+41 20 42	5.98	  A5m
291	 69Sig Psc	6118	01 02 49.1	+31 48 16	5.5	  B9.5V
292	          	6130	01 03 37.0	+61 04 30	5.92	  F0II
293	   Sig Scl	6178	01 02 26.4	-31 33 07	5.5	  A2V
294	 71Eps Psc	6186	01 02 56.6	+07 53 24	4.28	  K0III
295	   Ome Phe	6192	01 02 01.8	-57 00 09	6.11	  G8III
296	 25    Cet	6203	01 03 02.6	-04 50 12	5.43	  K0III-IV
297	          	6210	01 04 19.6	+61 34 49	5.84	  F6V
298	          	6211	01 04 02.4	+52 30 08	5.99	  K2
299	          	6245	01 02 49.2	-46 23 51	5.36	  G8III
300	          	6269	01 03 17.6	-29 31 33	6.29	  G5IV
301	 26    Cet	6288	01 03 49.0	+01 22 00	6.04	  F1V
302	          	6300	01 04 46.8	+51 00 36	6.54	  B3V
303	          	6301	01 04 27.6	+29 39 31	6.19	  F7IV-V
304	          	6311	01 02 42.9	-65 27 22	6.21	  M2III
305	          	6314	01 04 36.4	+39 59 28	6.72	  F0Vn
306	          	6319	01 16 13.5	+87 08 43	6.25	 gK2
307	 73    Psc	6386	01 04 52.6	+05 39 23	6	 gK5
308	 72    Psc	6397	01 05 05.4	+14 56 46	5.68	  F4II-III
309	          	6416	01 06 22.8	+62 45 42	6.54	  A5Vn
310	 74Psi1Psc	6456	01 05 40.9	+21 28 24	5.34	  A1Vn
311	 74Psi1Psc	6457	01 05 41.7	+21 27 55	5.56	  A0Vn
312	          	6473	01 09 12.3	+80 00 42	6.29	sgG6
313	 77    Psc	6479	01 05 49.2	+04 54 30	6.35	  F3V
314	 77    Psc	6480	01 05 51.4	+04 54 34	7.25	  F6V
315	 27    Cet	6482	01 05 36.8	-09 58 45	6.12	  K0III
316	          	6497	01 07 00.2	+56 56 06	6.43	  K2III
317	 28    Cet	6530	01 06 05.1	-09 50 22	5.58	  A1V
318	          	6540	01 07 09.5	+53 29 54	6.38	  K2III
319	 75    Psc	6557	01 06 33.6	+12 57 22	6.12	  G8III
320	          	6559	01 06 07.7	-23 59 33	6.14	  G8-K0III
321	 30Mu  Cas	6582	01 08 16.4	+54 55 13	5.17	  G5Vb
322	   Bet Phe	6595	01 06 05.0	-46 43 07	3.31	  G8III
323	          	6619	01 06 26.5	-35 39 39	6.61	  A1V
324	 41    And	6658	01 08 00.9	+43 56 31	5.03	  A3m
325	          	6668	01 07 13.1	-23 59 47	6.37	  A7V
326	          	6676	01 08 33.3	+58 15 49	5.79	  B8V
327	 78    Psc	6680	01 08 01.3	+32 00 44	6.25	  F5IV
328	 79Psi2Psc	6695	01 07 57.2	+20 44 21	5.55	  A3V
329	 30    Cet	6706	01 07 46.2	-09 47 08	5.82	  F7IV
330	 80    Psc	6763	01 08 22.2	+05 38 59	5.52	  F0III-IV
331	   Ups Phe	6767	01 07 47.9	-41 29 13	5.21	  A3IV
332	   Iot Tuc	6793	01 07 18.7	-61 46 31	5.37	  G5III
333	          	6798	01 12 16.7	+79 40 26	5.64	  A3V
334	 31Eta Cet	6805	01 08 35.4	-10 10 56	3.45	  K1.5IIICN1Fe0.5
335	 42Phi And	6811	01 09 30.2	+47 14 31	4.25	  B7Ve
336	 31    Cas	6829	01 10 39.3	+68 46 43	5.29	  A0Vnn
337	 43Bet And	6860	01 09 43.9	+35 37 14	2.06	  M0+IIIa
338	   Zet Phe	6882	01 08 23.1	-55 14 45	3.92	  B6V+B9V
339	 81Psi3Psc	6903	01 09 49.2	+19 39 31	5.55	  G0III
340	 44    And	6920	01 10 18.8	+42 04 53	5.65	  F8V
341	          	6953	01 10 19.4	+25 27 28	5.8	  K7III
342	          	6960	01 11 25.6	+64 12 10	5.55	  B9.5V
343	 33The Cas	6961	01 11 06.2	+55 08 59	4.33	  A7V
344	          	6966	01 10 11.5	+15 40 27	6.06	  M0III
345	 32    Cas	6972	01 11 41.4	+65 01 08	5.57	  B9IV
346	 32    Cet	6976	01 10 12.0	-08 54 22	6.4	  K0III
347	 33    Cet	7014	01 10 33.6	+02 26 44	5.95	  K4III
348	 45    And	7019	01 11 10.3	+37 43 27	5.81	  B7III-IV
349	 82    Psc	7034	01 11 06.8	+31 25 29	5.16	  F0V
350	          	7082	01 10 07.4	-57 41 40	6.41	  G6II-III
351	 84Chi Psc	7087	01 11 27.2	+21 02 05	4.66	  G8.5III-IIIa
352	 83Tau Psc	7106	01 11 39.6	+30 05 23	4.51	  K0.5IIIb
353	 34    Cet	7147	01 11 43.5	-02 15 04	5.94	  K4III
354	          	7157	01 13 09.9	+61 42 21	6.41	  B9V
355	          	7158	01 12 34.0	+45 20 16	6.11	  M1III
356	          	7229	01 12 59.5	+30 03 51	6.19	  G9III+G1V
357	          	7238	01 16 30.7	+79 54 36	6.26	  F5V s
358	          	7259	01 12 23.4	-30 48 08	6.52	  F7IV
359	          	7312	01 12 45.4	-37 51 23	5.92	  F0III
360	 85Phi Psc	7318	01 13 44.9	+24 35 01	4.65	  K0III
361	 86Zet Psc	7344	01 13 43.9	+07 34 31	5.24	  A7IV
362	 86Zet Psc	7345	01 13 45.3	+07 34 42	6.3	  F7V
363	          	7351	01 14 05.0	+28 31 47	6.43	  S3+/2-
364	 87    Psc	7374	01 14 07.6	+16 08 01	5.98	  B8III
365	          	7389	01 16 12.1	+71 44 38	7.83	  K1V
366	 37    Cet	7439	01 14 24.0	-07 55 23	5.13	  F5V
367	 88    Psc	7446	01 14 42.4	+06 59 43	6.03	 gG6
368	 38    Cet	7476	01 14 49.2	-00 58 26	5.7	  F5V
369	          	7546	01 16 24.5	+48 04 56	6.61	  B9IIIpSi
370	   Nu  Phe	7570	01 15 11.1	-45 31 53	4.96	  F8V
371	          	7578	01 16 18.8	+33 06 53	6.02	  K1III
372	          	7647	01 17 05.1	+44 54 07	6.34	  K5
373	 39    Cet	7672	01 16 36.3	-02 30 01	5.41	  G5IIIe+dA
374	          	7724	01 17 24.1	+31 44 41	6.73	  K0
375	          	7732	01 20 19.5	+77 34 14	6.31	  G5III
376	          	7758	01 18 10.2	+47 25 11	6.25	  K0
377	   Kap Tuc	7788	01 15 46.1	-68 52 34	4.86	  F6IV
378	 89    Psc	7804	01 17 48.0	+03 36 52	5.16	  A3V
379	          	7853	01 18 47.0	+37 23 10	6.46	  A5m
380	          	7916	01 17 03.6	-66 23 53	6.24	  A0V
381	          	7925	01 21 59.1	+76 14 20	6.38	  F0IVn
382	 34Phi Cas	7927	01 20 04.9	+58 13 54	4.98	  F0Ia
383	 90Ups Psc	7964	01 19 28.0	+27 15 51	4.76	  A3V
384	 35    Cas	8003	01 21 05.2	+64 39 30	6.34	  A2Vnn
385	 42    Cet	8036	01 19 48.3	-00 30 32	5.87	  G8III+A7V
386	          	8065	01 23 46.8	+78 43 33	6.07	  A0Iab
387	          	8120	01 20 34.5	-03 14 49	6.23	  K1III
388	          	8121	01 20 27.8	-11 14 20	6.15	  K1III
389	 91    Psc	8126	01 21 07.4	+28 44 17	5.23	 gK5
390	 46Xi  And	8207	01 22 20.4	+45 31 44	4.88	  K0-IIIb
391	          	8272	01 23 21.6	+58 08 35	6.45	  F4V
392	          	8334	01 22 37.0	+01 43 35	6.2	  K5IIIab
393	 43    Cet	8335	01 22 34.8	-00 26 59	6.49	 gK0
394	          	8350	01 22 30.5	-19 04 53	6.35	  F6IV
395	 47    And	8374	01 23 40.6	+37 42 54	5.58	  A2Vm
396	          	8375	01 23 37.5	+34 14 45	6.29	  G8IV
397	          	8388	01 23 24.9	+20 28 08	5.97	  K5
398	          	8424	01 25 46.5	+70 58 48	6.49	  A0Vnn
399	 36Psi Cas	8491	01 25 56.0	+68 07 48	4.74	  K0III
400	          	8498	01 23 31.0	-30 56 44	5.84	  K5III
401	 44    Cet	8511	01 24 02.5	-08 00 27	6.21	  F0V
402	 45The Cet	8512	01 24 01.4	-08 11 00	3.6	  K0III-IIIb
403	 37Del Cas	8538	01 25 49.0	+60 14 07	2.68	  A5III-IV
404	          	8556	01 24 20.6	-06 54 53	5.91	  F3V
405	          	8589	01 24 39.8	-15 39 37	6.14	  G5
406	          	8599	01 24 48.7	-02 50 55	6.15	  G8III
